"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"($) STORAGEGEAR Bathroom Floating Shelves Wall Mounted Set of 3 - Modern Stylish Design Perfect As Bookshelves, Kitchen Shelves, Bedroom Decor Shelves STFS03","B08F21B25F","STORAGEGEAR","$19.99",678,"13,553.22","11,354","$9.27",1,4.5,589,8,51,"STORAGEGEAR US","Home & Kitchen","Large Standard-Size","FBA","7.1x17.1x4.5",4.08,"7/15/2020"
"($) Willow & Grace Long Floating Wall Shelves - Live Edge Shelves for Wall Mounted Shelves, Long Shelf | Perfect Bathroom Shelves or Kitchen Shelves for Wall Decor | Light Walnut (36"" Set of 2)","B08SYQ3XB8","WG WILLOW & GRACE DESIGNS","$78.96","2,111","166,684.56","3,922","$25.44",1,4.4,825,7,86,"Spreetail","Home & Kitchen","Small Oversize","MFN","6.5x36.5x3.0",13.61,"1/13/2021"
"Americanflat 14 Inch Floating Shelves Set of 3 in White Composite Wood - Wall Mounted Storage Shelves for Bedroom, Living Room, Bathroom, Kitchen, Office and More","B01H2BQJJU","Americanflat","$26.98","1,145","30,892.10","11,614","$10.02",8,4.4,2348,6,55,"Amazon","Home & Kitchen","Large Standard-Size","AMZ","8.8x16.9x7.9",4.01,"n/a"
"Wallniture Ponza Wood Floating Shelves for Wall Storage, Natural Burned Small Bookshelf Set of 5","B08XC211KF","Wallniture","$32.99","3,253","107,316.47","4,165","$11.53",1,4.5,677,8,173,"FASTHOMEGOODS","Home & Kitchen","Large Standard-Size","FBA","6.3x17.9x4.6",5.20,"2/24/2021"
"AIBORS Floating Shelves for Wall, Rustic Wood Wall Shelves Decor Set of 3 for Bedroom, Bathroom, Living Room, Kitchen, Office, Laundry Room, Burlywood","B08GLFMXM1","AIBORS","$21.99","2,289","50,335.11","10,456","$10.27",2,4.6,1417,9,52,"AIBORS","Home & Kitchen","Large Standard-Size","FBA","6.6x17.2x3.4",3.42,"10/28/2020"
"Love-KANKEI Floating Shelves Wall Mounted Set of 3, Rustic Wood Wall Storage Shelves for Bedroom, Living Room, Bathroom, Kitchen, Office and More Carbonized Black","B077GQ87NP","Love-KANKEI","$19.99","13,300","265,867.00",530,"$8.68",3,4.5,44803,7,"1,179","Kankei LLC","Home & Kitchen","Large Standard-Size","FBA","5.0x17.2x2.7",2.38,"11/14/2017"
"BAMEOS Floating Shelves, Rustic Wood Wall Storage Shelves, Wall Mounted Shelf Organizer Set of 3 for Living Room, Bedroom, Kitchen, Bathroom, Office (Carbonized Brown)","B08CVSGS8G","BAMEOS","$23.99",907,"21,758.93","30,638","$9.27",1,4.4,1177,7,36,"Bameos","Home & Kitchen","Large Standard-Size","FBA","6.1x17.4x3.1",2.45,"7/13/2020"
"YGEOMER Floating Shelves, Set of 4, Carbonized Black, Multifunctional Wall-Mounted Shelves for Living Room, Bathroom, Kitchen, or Bedroom","B08NSFV92Z","YGEOMER","$25.99",997,"25,912.03","4,105","$11.17",1,4.4,603,7,96,"JUSLIN","Home & Kitchen","Large Standard-Size","FBA","6.7x17.8x3.7",4.28,"11/18/2020"
"Minggoo Floating Shelves Wall Mounted Set of 3, Rustic Wood Wall Storage Shelves for Bedroom,Living Room,Bathroom, Torched Wood","B0881GCVFL","Minggoo","$19.99",307,"6,136.93","101,343","$8.68",1,4.3,1114,7,31,"minggoo","Home & Kitchen","Large Standard-Size","FBA","5.4x17.3x2.2",2.67,"n/a"
"SRIWATANA Floating Shelves Wall Mounted, Solid Wood Wall Shelves, White","B07XC75B69","SRIWATANA","$15.99","7,004","111,993.96","1,397","$8.08",1,4.4,18864,7,461,"Wallis US","Home & Kitchen","Large Standard-Size","FBA","5.1x17.0x4.2",2.14,"10/10/2019"
"Labcosi Farmhouse Floating Shelves for Wall, 17 Inch Rustic Shelves and Solid Wood Display Rack for Bathroom, Bedroom, Toilet, Kitchen, Office, Living Room (Rustic White)","B08H8GNZSZ","Lab Cosi","$27.99",346,"9,684.54","61,755","$10.18",10,4.4,270,8,12,"Labcosi","Home & Kitchen","Large Standard-Size","FBA","6.6x17.4x4.9",4.65,"9/2/2020"
"Set of 2 BATODA 17"" Floating Shelves Wall Mounted with Invisible Brackets –White Floating Shelves Small - Rustic Acacia Wood Wall Storage Shelf for Home Décor - 6” Depth, 1.6” Thick (White)","B08MQFZJ17","BATODA","$29.97",83,"2,487.51","98,411","$11.68",1,4.0,73,8,7,"BATODA","Home & Kitchen","Large Standard-Size","FBA","7.4x17.5x3.8",7.01,"7/3/2020"
"BAMFOX Floating Wall Shelf Set of 2,Natural Bamboo Wall Decor Storage Shelf，Wall Mount Display Rack for Bedroom, Living Room, Bathroom, Kitchen, Office and More","B07WTVBZF7","BAMFOX","$32.99","1,555","51,299.45","12,049","$13.26",1,4.5,1991,8,52,"BAMFOX","Home & Kitchen","Large Standard-Size","FBA","6.3x17.1x3.3",7.60,"n/a"
"Floating Shelves Wall Mounted 17-Inch - Thick Handmade Set of Dark Brown Wooden Shelf, Natural Rustic Farmhouse Acacia Hard Wood, Solid Shelving for Kitchen, Bathroom, Bedroom Decor - 2 Pack","B08DPXTM3C","Sophia Mills","$49.99","1,065","53,239.35","20,341","$15.28",1,4.7,393,6,54,"Two Day Direct","Home & Kitchen","Large Standard-Size","FBA","8.1x17.6x4.1",9.55,"7/27/2020"
"($) AZL1 Life Concept Accent Utility Levie Rustic Modern Floating Corner Wood Wall Shelves for Living Room Kitchen Home Office and More, 12 inches, Walnut 1","B08PMPVNR4","AZL1 Life Concept","$49.99",90,"4,499.10","52,689","$19.96",4,4.6,184,7,0,"Amazon","Home & Kitchen","Small Oversize","AMZ","15.2x15.5x6.4",7.35,"4/3/2021"
