,Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
0,"($) STORAGEGEAR Bathroom Floating Shelves Wall Mounted Set of 3 - Modern Stylish Design Perfect As Bookshelves, Kitchen Shelves, Bedroom Decor Shelves STFS03",B08F21B25F,STORAGEGEAR,19.99,678.0,13553.22,11354.0,9.27,1,4.5,589.0,8,51.0,STORAGEGEAR US,Home & Kitchen,Large Standard-Size,FBA,7.1x17.1x4.5,4.08,7/15/2020
1,"($) Willow & Grace Long Floating Wall Shelves - Live Edge Shelves for Wall Mounted Shelves, Long Shelf | Perfect Bathroom Shelves or Kitchen Shelves for Wall Decor | Light Walnut (36"" Set of 2)",B08SYQ3XB8,WG WILLOW & GRACE DESIGNS,78.96,2111.0,166684.56,3922.0,25.44,1,4.4,825.0,7,86.0,Spreetail,Home & Kitchen,Small Oversize,MFN,6.5x36.5x3.0,13.61,1/13/2021
2,"Americanflat 14 Inch Floating Shelves Set of 3 in White Composite Wood - Wall Mounted Storage Shelves for Bedroom, Living Room, Bathroom, Kitchen, Office and More",B01H2BQJJU,Americanflat,26.98,1145.0,30892.1,11614.0,10.02,8,4.4,2348.0,6,55.0,Amazon,Home & Kitchen,Large Standard-Size,AMZ,8.8x16.9x7.9,4.01,
3,"Wallniture Ponza Wood Floating Shelves for Wall Storage, Natural Burned Small Bookshelf Set of 5",B08XC211KF,Wallniture,32.99,3253.0,107316.47,4165.0,11.53,1,4.5,677.0,8,173.0,FASTHOMEGOODS,Home & Kitchen,Large Standard-Size,FBA,6.3x17.9x4.6,5.2,2/24/2021
4,"AIBORS Floating Shelves for Wall, Rustic Wood Wall Shelves Decor Set of 3 for Bedroom, Bathroom, Living Room, Kitchen, Office, Laundry Room, Burlywood",B08GLFMXM1,AIBORS,21.99,2289.0,50335.11,10456.0,10.27,2,4.6,1417.0,9,52.0,AIBORS,Home & Kitchen,Large Standard-Size,FBA,6.6x17.2x3.4,3.42,10/28/2020
5,"Love-KANKEI Floating Shelves Wall Mounted Set of 3, Rustic Wood Wall Storage Shelves for Bedroom, Living Room, Bathroom, Kitchen, Office and More Carbonized Black",B077GQ87NP,Love-KANKEI,19.99,13300.0,265867.0,530.0,8.68,3,4.5,44803.0,7,1179.0,Kankei LLC,Home & Kitchen,Large Standard-Size,FBA,5.0x17.2x2.7,2.38,11/14/2017
6,"BAMEOS Floating Shelves, Rustic Wood Wall Storage Shelves, Wall Mounted Shelf Organizer Set of 3 for Living Room, Bedroom, Kitchen, Bathroom, Office (Carbonized Brown)",B08CVSGS8G,BAMEOS,23.99,907.0,21758.93,30638.0,9.27,1,4.4,1177.0,7,36.0,Bameos,Home & Kitchen,Large Standard-Size,FBA,6.1x17.4x3.1,2.45,7/13/2020
7,"YGEOMER Floating Shelves, Set of 4, Carbonized Black, Multifunctional Wall-Mounted Shelves for Living Room, Bathroom, Kitchen, or Bedroom",B08NSFV92Z,YGEOMER,25.99,997.0,25912.03,4105.0,11.17,1,4.4,603.0,7,96.0,JUSLIN,Home & Kitchen,Large Standard-Size,FBA,6.7x17.8x3.7,4.28,11/18/2020
8,"Minggoo Floating Shelves Wall Mounted Set of 3, Rustic Wood Wall Storage Shelves for Bedroom,Living Room,Bathroom, Torched Wood",B0881GCVFL,Minggoo,19.99,307.0,6136.93,101343.0,8.68,1,4.3,1114.0,7,31.0,minggoo,Home & Kitchen,Large Standard-Size,FBA,5.4x17.3x2.2,2.67,
9,"SRIWATANA Floating Shelves Wall Mounted, Solid Wood Wall Shelves, White",B07XC75B69,SRIWATANA,15.99,7004.0,111993.96,1397.0,8.08,1,4.4,18864.0,7,461.0,Wallis US,Home & Kitchen,Large Standard-Size,FBA,5.1x17.0x4.2,2.14,10/10/2019
