,Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
0,"($) SHW Electric Height Adjustable Standing Desk, 48 x 24 Inches, Light Cherry",B07GVRKCWP,SHW,228.87,5711.0,1307076.57,2802.0,67.01,5,4.6,11650.0,6,-1857.0,EPFamily Direct,Home & Kitchen,Small Oversize,FBA,17.0x50.2x6.7,68.0,8/27/2018
1,"($) Vari Electric Standing Desk 60"" x 30"" - Dual Motor Sit to Stand Desk - Push Button Memory Settings - Solid Top with Height Adjustable Steel Legs - Work or Home Office Desk - (Reclaimed Wood)",B089CX2F42,Vari,695.0,1438.0,999410.0,12260.0,99.94,1,4.9,1311.0,7,62.0,Vari.,Home & Kitchen,,MFN,,31.45,6/1/2020
2,($) Flexispot EC1 Standing Desk 48 x 30 Inches Height Adjustable Desk Electric Sit Stand Desk Home Office Desks Whole Piece Desk Board (Black Frame + 48 in Blacktop),B07H2W9Y3W,FLEXISPOT,239.99,3815.0,915561.85,3058.0,85.15,2,4.6,6672.0,6,-40.0,FlexiSpot,Home & Kitchen,Medium Oversize,MFN,29.7x50.5x9.0,103.0,9/3/2018
3,"($) FEZIBO Dual Motor Height Adjustable Electric Standing Desk with Keyboard Tray, 48 x 24 Inch Sit Stand Table with Splice Board, Black Frame/Rustic Brown and Black Top",B08B4KFDC7,FEZIBO,289.99,626.0,181533.74,16106.0,80.4,1,4.3,3458.0,9,-46.0,FEZIBO,Home & Kitchen,Medium Oversize,FBA,16.1x31.9x12.2,77.16,6/12/2020
4,"($) FAMISKY Dual Motor Adjustable Height Standing Desk, Electric Sit Stand Desk with Screen Panel, 48 x 24 Inches Stand up Desk, Home Office Desk with Walnut Top and Black Frame",B08HMRRL23,FAMISKY,206.49,79.0,16312.71,129230.0,62.11,1,4.6,63.0,8,4.0,Tyhoe,Home & Kitchen,Small Oversize,FBA,16.5x50.4x8.3,60.6,9/8/2020
5,"($) Harmati Electric Standing Desk Adjustable Height - 47 x 24 Inch Sit Stand Computer Desk, Stand Up Desk Table for Home Office, Black Frame/Walnut Top",B08T96WPVL,harmati,199.99,554.0,110794.46,24338.0,64.88,2,4.4,39.0,7,12.0,Harmati-US,Home & Kitchen,Small Oversize,FBA,30.0x50.0x6.5,64.6,5/6/2021
6,"KKL Height Adjustable Electric Standing Desk, 48 x 24 Inches Sit Stand Desk Home Office Table with Splice Board, Rustic Brown",B08R576WCB,KKL,219.99,690.0,151793.1,6436.0,65.73,1,4.6,330.0,7,13.0,GuangKe,Office Products,Small Oversize,FBA,13.7x50.7x8.0,67.0,12/22/2020
7,FITUEYES Height Adjustable Standing Desk Converter 32” Wide Sit to Stand Desk Tabletop Workstation SD308001WB,B07LCCJD6B,FITUEYES,112.89,1272.0,143596.08,2583.0,37.75,3,4.7,1230.0,6,43.0,Dropship Shopping Centre,Office Products,Small Oversize,FBA,21.9x34.0x6.1,29.05,12/13/2018
8,"SIDUCAL Mobile Stand Up Desk, Adjustable Laptop Desk with Wheels Home Office Workstation, Rolling Desk Laptop Cart for Standing or Sitting, Black",B07GD7W5RL,SIDUCAL,69.99,1204.0,84267.96,3735.0,27.12,3,4.3,3383.0,7,129.0,Siducal Direct,Office Products,Small Oversize,FBA,26.0x26.0x5.0,23.2,8/12/2018
9,Flexispot EC1 Electric Standing Desk Adjustable Desks for Home Office 48 x 30 Inches Stand Up Desk Whole-Piece Desktop Height Adjustable Sit Stand Desk Classic (Silver Frame + 48 in White Top),B08LB33XVJ,FLEXISPOT,239.99,3815.0,915561.85,3058.0,80.08,2,4.6,6672.0,9,-41.0,FlexiSpot,Home & Kitchen,,MFN,,90.0,11/21/2020
10,"SHW Electric Height Adjustable Standing Desk, 48 x 24 Inches, Light Cherry",B07GVRKCWP,SHW,228.87,5711.0,1307076.57,2802.0,67.01,5,4.6,11650.0,6,-1857.0,EPFamily Direct,Home & Kitchen,Small Oversize,FBA,17.0x50.2x6.7,68.0,8/27/2018
11,"FAMISKY Standing Desk Dual Motors, Adjustable Height Electric Stand up Desk, 55 x 24 Inches Sit Stand Home Office Desk, Ergonomic Workstation Black Steel Frame/Rustic Brown Wood Tabletop",B08HMVDNYJ,FAMISKY,299.99,805.0,241491.95,23647.0,74.5,4,4.5,1899.0,9,33.0,EleTab,Home & Kitchen,Small Oversize,FBA,16.0x59.0x9.0,69.0,9/8/2020
12,"Electric Height Adjustable Standing Desk, Radlove 55'' x 24'' Stand Up Desk Workstation, Splice Board Home Office Computer Standing Table Height Adjustable Ergonomic Desk (Black Frame + 55"" Brown Top)",B09C5D7H2G,Radlove,229.99,874.0,201011.26,25264.0,,1,4.4,14.0,8,3.0,Radlove,Home & Kitchen,Small Oversize,MFN,14.0x45.0x11.0,62.0,7/27/2021
13,"Harmati Electric Standing Desk Adjustable Height - 47 x 24 Inch Sit Stand Computer Desk, Stand Up Desk Table for Home Office, Black Frame/Walnut Top",B08T96WPVL,harmati,199.99,554.0,110794.46,24338.0,64.88,2,4.4,39.0,7,12.0,Harmati-US,Home & Kitchen,Small Oversize,FBA,30.0x50.0x6.5,64.6,5/6/2021
14,FLEXISPOT Height Adjustable Desk 55 x 28 inches with Memory Electric Sit Stand Up Computer Desk Home Office Gray Frame/Mahogany Top,B07H2TZH56,FLEXISPOT,349.99,726.0,254092.74,30635.0,71.9,1,4.6,2058.0,9,40.0,FlexiSpot,Home & Kitchen,Small Oversize,MFN,10.6x30.7x6.1,48.72,9/3/2018
15,"FEZIBO Height Adjustable Electric Standing Desk, 55 x 24 Inches Stand up Table, Sit Stand Home Office Desk with Splice Board, Black Frame/Rustic Brown Top",B08GFG5H64,FEZIBO,269.99,2431.0,656345.69,6985.0,71.88,1,4.6,2685.0,9,182.0,FEZIBO,Home & Kitchen,Small Oversize,MFN,14.5x57.5x8.0,69.22,8/21/2020
